"Data Source","World Development Indicators",

"Last Updated Date","2016-08-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"China","CHN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","70","80","90","100","110","100","90","110","120","120","130","160","180","200","180","190","190","210","220","220","220","220","250","290","310","320","330","320","330","350","390","420","470","540","650","750","800","850","930","1010","1100","1270","1500","1750","2050","2490","3070","3650","4300","5000","5870","6710","7400","7820",
"Cote d'Ivoire","CIV","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","170","190","220","210","230","230","260","280","290","300","310","370","460","580","660","760","930","1100","1130","1100","930","700","640","620","720","800","890","810","760","740","760","740","670","690","710","760","750","730","640","590","570","620","780","940","950","980","1090","1180","1210","1150","1260","1360","1450","1410",
"Cameroon","CMR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","110","130","150","160","170","180","200","270","340","330","330","500","600","610","810","820","760","760","780","900","1010","1100","1040","920","870","870","870","790","730","650","640","630","630","600","580","570","660","800","900","960","990","1090","1160","1170","1210","1230","1290","1350","1330",
"Congo, Rep.","COG","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","150","150","160","170","170","190","200","210","220","230","270","340","420","500","480","440","480","600","820","1080","1210","1060","1050","980","970","1040","920","930","920","950","1050","790","680","430","470","590","580","490","570","640","680","710","790","980","1230","1410","1870","1980","2230","2230","2510","2620","2720","2540",
"Colombia","COL","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","270","280","300","300","310","290","300","310","320","340","380","450","530","580","610","670","830","1030","1220","1310","1280","1240","1240","1170","1190","1210","1260","1220","1220","1190","1280","1390","1740","2140","2470","2590","2510","2280","2320","2300","2330","2340","2580","2920","3430","4070","4660","5090","5540","6180","7150","7760","7970","7130",
"Comoros","COM","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","380","340","320","320","360","450","550","540","560","550","640","630","500","490","450","460","420","410","420","400","390","450","540","620","650","670","720","760","760","770","770","790","790","",
"Cabo Verde","CPV","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","500","460","450","450","510","640","830","890","890","900","1040","1180","1290","1400","1330","1340","1300","1340","1370","1310","1270","1480","1850","2110","2250","2780","3280","3480","3410","3540","3470","3530","3450","3290",
"Costa Rica","CRI","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","360","350","340","370","390","410","440","470","520","570","630","760","880","970","1040","1240","1480","1740","1950","1420","1020","1020","1280","1560","1820","2070","2190","2210","2320","2330","2580","2760","3010","3220","3270","3390","3480","3470","3710","3880","3970","4200","4570","4890","5310","5640","6270","6300","7100","7980","9140","9850","10120","10210",
"Caribbean small states","CSS","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","639.075227791942","669.964731865574","719.736416520282","761.019059791996","908.151354421575","1007.25174997578","1185.16093278777","1494.40594231141","1594.06900232955","1728.93558409738","1905.73039583512","2051.82929822645","2241.98923313826","2544.32196864987","2736.33234950726","2583.50537952519","2510.62518027638","2492.51031948325","2452.68003159525","2548.70968062288","2764.12921877073","2843.04940225197","2894.37514703345","2882.00257315663","2906.10864786506","2961.30220466336","3026.7942972195","3253.82508086184","3541.9203520666","3633.16359771009","3841.45395023828","4206.55716016207","4575.05341365837","4707.35010082708","4944.53220936182","5415.10608265258","6037.3085055553","6596.76955472534","7331.49747925645","7992.8078703462","8795.14460257048","8450.68124564459","8431.4882400067","8268.06830139346","8765.20850423218","9338.39467790139","9502.85927824013","9476.99498651197",
"Cuba","CUB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","850","1040","1240","1500","1550","1600","1790","2000","2150","2430","2340","2180","2310","2310","2390","2490","2780","2750","2660","2340","2130","1870","2140","2550","2700","2500","2240","2400","2620","2760","2820","3100","3490","3960","4520","4980","5430","5490","5570","5880","","","","",
"Curacao","CUW","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
