仿杈ountry Name,Country Code,Series Name,Series Code,1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
"Korea, Dem. People劌製 Rep.",PRK,Overall level of statistical capacity (scale 0 - 100),IQ.SCI.OVRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Korea, Dem. People劌製 Rep.",PRK,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Korea, Dem. People劌製 Rep.",PRK,Population density (people per sq. km of land area),EN.POP.DNST,106.8406528,109.8067104,113.0189436,116.3455527,119.6777676,123.0160535,126.3567395,129.5822689,132.5481854,135.1610331,137.3559422,139.1813471,140.7991114,142.4410016,144.2751183,146.3610581,148.6524043,151.0828087,153.5420397,155.9513413,158.284096,160.5726269,162.8644797,165.2303795,167.713263,170.3364172,173.0593971,175.7846524,178.3784071,180.7463666,182.8461922,184.7091271,186.4046674,188.0387592,189.6870526,191.3748111,193.0741051,194.7443983,196.3233618,197.7686571,199.0689893,200.248692,201.3439831,202.4068267,203.4756748,204.5624035,205.6586081,206.7577859,207.8462918,208.9138527
"Korea, Dem. People劌製 Rep.",PRK,Population growth (annual %),SP.POP.GROW,2.496244966,2.738314401,2.88338052,2.900921829,2.823819569,2.751200178,2.679430915,2.52067885,2.263028183,1.952066316,1.610876916,1.320206316,1.155639446,1.159375755,1.279413091,1.435454835,1.553415422,1.621736528,1.614631505,1.556963975,1.484745087,1.43548496,1.417209806,1.442229761,1.491501379,1.551965304,1.585946467,1.5624809,1.464749626,1.31875825,1.15505606,1.013698253,0.913763951,0.872816618,0.872751473,0.885824423,0.884021296,0.861384115,0.807518431,0.73348439,0.655349544,0.590860946,0.545474991,0.526486163,0.5266798,0.532661683,0.534447146,0.533043995,0.525083325,0.512315385
"Korea, Dem. People劌製 Rep.",PRK,"Population, total",SP.POP.TOTL,12864683,13221826,13608611,14009168,14410400,14812363,15214615,15603001,15960127,16274740,16539029,16758826,16953621,17151321,17372167,17623335,17899236,18191881,18487997,18778101,19058988,19334550,19610512,19895390,20194354,20510208,20838082,21166230,21478544,21763670,22016510,22240826,22444986,22641747,22840218,23043441,23248053,23449173,23639296,23813324,23969897,24111945,24243829,24371806,24500506,24631359,24763353,24895705,25026772,25155317
"Korea, Dem. People劌製 Rep.",PRK,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Korea, Dem. People劌製 Rep.",PRK,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Korea, Dem. People劌製 Rep.",PRK,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Korea, Dem. People劌製 Rep.",PRK,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,55.5,..,24.70000076,..,17.79999924,..,20.60000038,..,..,..,..,18.79999924,..,..,15.19999981,..,..,..
"Korea, Dem. People劌製 Rep.",PRK,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,97.42876,..,..,..,..,..,..
"Korea, Dem. People劌製 Rep.",PRK,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Korea, Dem. People劌製 Rep.",PRK,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.99977,..,..,..,..,..,..
"Korea, Dem. People劌製 Rep.",PRK,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Korea, Dem. People劌製 Rep.",PRK,Surface area (sq. km),AG.SRF.TOTL.K2,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540
"Korea, Dem. People劌製 Rep.",PRK,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Korea, Dem. People劌製 Rep.",PRK,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.2,..,..,..,..,..,..,..,..,..,1.27,..,..,..,..,..,..,..,..,..,..,..,..,..,1.3,..
"Korea, Dem. People劌製 Rep.",PRK,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
